algorithm,message_size,operation,samples,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,batch_size,plaintext_size,ciphertext_size,ci95_half_width_ns,ci95_lower_ns,ci95_upper_ns,mean_us,median_us,throughput_mb_s_median,throughput_mb_s_mean,messages_per_second_median
Ascon-AEAD128,128,decrypt,10000,1342491.7,1398900.0,231451.97034496738,775100.0,4628600.0,1441900.0,1,128,144,4536.45861876136,1337955.2413812387,1347028.1586187612,1342.4917,1398.9,0.09150046465079706,0.09534509598830294,714.847380084352
Ascon-AEAD128,256,decrypt,10000,2047044.44,2145100.0,407252.170501428,1187400.0,9529500.0,2326274.999999999,1,256,272,7982.142541827989,2039062.2974581718,2055026.582541828,2047.04444,2145.1,0.1193417556291082,0.12505834997895798,466.1787329262039
Ascon-AEAD128,512,decrypt,10000,3493645.73,3633300.0,494679.242619978,2010400.0,6270500.0,3735724.9999999995,1,512,528,9695.713155351568,3483950.0168446484,3503341.4431553516,3493.64573,3633.3,0.14091872402499106,0.1465517798795243,275.2318828613107
Ascon-AEAD128,1024,decrypt,10000,6246574.26,6589500.0,1075686.9835542825,3652900.0,13560800.0,6794105.0,1,1024,1040,21083.464877663933,6225490.795122336,6267657.724877664,6246.574259999999,6589.5,0.15539874042036572,0.16392985296872145,151.7565824417634
Ascon-AEAD128,2048,decrypt,10000,12279083.84,12660500.0,2156926.643935205,6961100.0,28935300.0,15061019.999999996,1,2048,2064,42275.76222113001,12236808.07777887,12321359.60222113,12279.08384,12660.5,0.16176296354804315,0.16678768763908042,78.98582204494294
Ascon-AEAD128,4096,decrypt,10000,23446149.82,24517200.0,3358131.252108322,13530800.0,75582300.0,25969260.0,1,4096,4112,65819.37254132312,23380330.447458677,23511969.192541324,23446.14982,24517.2,0.16706638604734636,0.17469819272868573,40.787691906090416
AES-128-GCM,32,encrypt,500,3031.71,1935.0,1830.1991103338821,1470.0,8170.0,6115.749999999999,20,32,48,160.42402522419496,2871.2859747758052,3192.134025224195,3.03171,1.935,16.537467700258397,10.55509926741014,516795.86563307495
AES-128-GCM,64,encrypt,500,2421.82,1935.0,1150.4390063861838,1540.0,8695.0,5230.749999999999,20,64,80,100.8404250320754,2320.9795749679247,2522.6604250320756,2.4218200000000003,1.935,33.07493540051679,26.42640658678184,516795.86563307495
AES-128-GCM,128,encrypt,500,1710.5,1590.0,228.81841213386417,1475.0,3775.0,1970.0,20,128,144,20.056818142167412,1690.4431818578325,1730.5568181421675,1.7105,1.59,80.50314465408805,74.83192049108447,628930.8176100629
AES-128-GCM,256,encrypt,500,2960.95,1900.0,1838.5298560434442,1520.0,10815.0,5726.999999999998,20,256,272,161.1542472816209,2799.795752718379,3122.1042472816207,2.96095,1.9,134.73684210526315,86.45873790506425,526315.7894736842
AES-128-GCM,512,encrypt,500,2314.68,2050.0,1107.4042558939097,1640.0,6895.0,5430.0,20,512,528,97.06826283425308,2217.611737165747,2411.7482628342527,2.3146799999999996,2.05,249.7560975609756,221.1968825064372,487804.8780487805
AES-128-GCM,1024,encrypt,500,2799.74,2130.0,1649.375521712156,1765.0,9550.0,5915.25,20,1024,1040,144.57413884932438,2655.1658611506755,2944.314138849324,2.79974,2.13,480.7511737089202,365.74824805160483,469483.56807511736
AES-128-GCM,2048,encrypt,500,3010.71,2595.0,1319.906417820448,2195.0,10225.0,6360.0,20,2048,2064,115.69489858804265,2895.0151014119574,3126.4048985880427,3.01071,2.595,789.2100192678228,680.2382162347087,385356.4547206166
AES-128-GCM,4096,encrypt,500,3827.16,3110.0,1625.4287655088078,2660.0,10155.0,6880.25,20,4096,4112,142.47511312064137,3684.6848868793586,3969.635113120641,3.8271599999999997,3.11,1317.0418006430868,1070.2452993864904,321543.40836012864
Ascon-AEAD128,32,encrypt,10000,802812.96,838800.0,132806.45133949682,467300.0,1693800.0,879809.9999999999,1,32,48,2603.0064462541377,800209.9535537459,805415.966446254,802.81296,838.8,0.038149737720553176,0.03985984481366619,1192.1793037672867
Ascon-AEAD128,64,encrypt,10000,994351.62,1021800.0,140854.16829845082,568700.0,2723700.0,1066109.9999999998,1,64,80,2760.7416986496364,991590.8783013504,997112.3616986496,994.35162,1021.8,0.06263456645136034,0.06436354978734786,978.6651008025054
Ascon-AEAD128,128,encrypt,10000,1342386.78,1389300.0,194127.4288736543,770600.0,3552300.0,1432300.0,1,128,144,3804.8976059236243,1338581.8823940763,1346191.6776059237,1342.38678,1389.3,0.09213272871230116,0.09535254809347869,719.7869430648528
Ascon-AEAD128,256,encrypt,10000,2000563.45,2123900.0,347953.3298347234,1179200.0,3551700.0,2186500.0,1,256,272,6819.885264760578,1993743.5647352394,2007383.3352647605,2000.5634499999999,2123.9,0.12053298177880314,0.1279639493563676,470.8319600734498
Ascon-AEAD128,512,encrypt,10000,3492597.55,3599100.0,511927.6139760314,1989700.0,6955500.0,3747624.9999999995,1,512,528,10033.781233930215,3482563.76876607,3502631.33123393,3492.59755,3599.1,0.14225778666888944,0.14659576222860263,277.8472395876747
Ascon-AEAD128,1024,encrypt,10000,6454412.27,6563400.0,1054064.3626555777,3629400.0,16319500.0,7690630.0,1,1024,1040,20659.66150804932,6433752.608491951,6475071.931508048,6454.41227,6563.4,0.15601669866227869,0.15865116096775148,152.36005728738155
Ascon-AEAD128,2048,encrypt,10000,11851849.82,12480550.0,1773759.9984691234,6894300.0,22145500.0,12834305.0,1,2048,2064,34765.69596999482,11817084.124030005,11886615.515969995,11851.84982,12480.55,0.16409533233711654,0.17280002962440508,80.1246739927327
