algorithm,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
AES-128-GCM,2048,encrypt,1,2097,0
AES-128-GCM,2048,encrypt,2,2097,0
AES-128-GCM,2048,encrypt,3,2097,0
AES-128-GCM,2048,encrypt,4,2097,0
AES-128-GCM,2048,encrypt,5,2097,0
AES-128-GCM,2048,encrypt,6,2097,0
AES-128-GCM,2048,encrypt,7,2097,0
AES-128-GCM,2048,encrypt,8,2097,0
AES-128-GCM,2048,encrypt,9,2097,0
AES-128-GCM,2048,encrypt,10,2097,0
AES-128-GCM,2048,encrypt,11,2097,0
AES-128-GCM,2048,encrypt,12,2097,0
AES-128-GCM,2048,encrypt,13,2097,0
AES-128-GCM,2048,encrypt,14,2097,0
AES-128-GCM,2048,encrypt,15,2097,0
AES-128-GCM,2048,encrypt,16,2097,0
AES-128-GCM,2048,encrypt,17,2097,0
AES-128-GCM,2048,encrypt,18,2097,0
AES-128-GCM,2048,encrypt,19,2097,0
AES-128-GCM,2048,encrypt,20,2097,0
AES-128-GCM,2048,decrypt,1,2113,32
AES-128-GCM,2048,decrypt,2,2113,32
AES-128-GCM,2048,decrypt,3,2113,32
AES-128-GCM,2048,decrypt,4,2113,32
AES-128-GCM,2048,decrypt,5,2113,32
AES-128-GCM,2048,decrypt,6,2113,32
AES-128-GCM,2048,decrypt,7,2113,32
AES-128-GCM,2048,decrypt,8,2113,32
AES-128-GCM,2048,decrypt,9,2113,32
AES-128-GCM,2048,decrypt,10,2113,32
AES-128-GCM,2048,decrypt,11,2113,32
AES-128-GCM,2048,decrypt,12,2113,32
AES-128-GCM,2048,decrypt,13,2113,32
AES-128-GCM,2048,decrypt,14,2113,32
AES-128-GCM,2048,decrypt,15,2113,32
AES-128-GCM,2048,decrypt,16,2113,32
AES-128-GCM,2048,decrypt,17,2113,32
AES-128-GCM,2048,decrypt,18,2113,32
AES-128-GCM,2048,decrypt,19,2113,32
AES-128-GCM,2048,decrypt,20,2113,32
AES-128-GCM,4096,encrypt,1,4145,0
AES-128-GCM,4096,encrypt,2,4145,0
AES-128-GCM,4096,encrypt,3,4145,0
AES-128-GCM,4096,encrypt,4,4145,0
AES-128-GCM,4096,encrypt,5,4145,0
AES-128-GCM,4096,encrypt,6,4145,0
AES-128-GCM,4096,encrypt,7,4145,0
AES-128-GCM,4096,encrypt,8,4145,0
AES-128-GCM,4096,encrypt,9,4145,0
AES-128-GCM,4096,encrypt,10,4145,0
AES-128-GCM,4096,encrypt,11,4145,0
AES-128-GCM,4096,encrypt,12,4145,0
AES-128-GCM,4096,encrypt,13,4145,0
AES-128-GCM,4096,encrypt,14,4145,0
AES-128-GCM,4096,encrypt,15,4145,0
AES-128-GCM,4096,encrypt,16,4145,0
AES-128-GCM,4096,encrypt,17,4145,0
AES-128-GCM,4096,encrypt,18,4145,0
AES-128-GCM,4096,encrypt,19,4145,0
AES-128-GCM,4096,encrypt,20,4145,0
AES-128-GCM,4096,decrypt,1,4161,32
AES-128-GCM,4096,decrypt,2,4161,32
AES-128-GCM,4096,decrypt,3,4161,32
AES-128-GCM,4096,decrypt,4,4161,32
AES-128-GCM,4096,decrypt,5,4161,32
AES-128-GCM,4096,decrypt,6,4161,32
AES-128-GCM,4096,decrypt,7,4161,32
AES-128-GCM,4096,decrypt,8,4161,32
AES-128-GCM,4096,decrypt,9,4161,32
AES-128-GCM,4096,decrypt,10,4161,32
AES-128-GCM,4096,decrypt,11,4161,32
AES-128-GCM,4096,decrypt,12,4161,32
AES-128-GCM,4096,decrypt,13,4161,32
AES-128-GCM,4096,decrypt,14,4161,32
AES-128-GCM,4096,decrypt,15,4161,32
AES-128-GCM,4096,decrypt,16,4161,32
AES-128-GCM,4096,decrypt,17,4161,32
AES-128-GCM,4096,decrypt,18,4161,32
AES-128-GCM,4096,decrypt,19,4161,32
AES-128-GCM,4096,decrypt,20,4161,32
Ascon-AEAD128,32,encrypt,1,4795,3880
Ascon-AEAD128,32,encrypt,2,4795,3880
Ascon-AEAD128,32,encrypt,3,4795,3880
Ascon-AEAD128,32,encrypt,4,4795,3880
Ascon-AEAD128,32,encrypt,5,4795,3880
Ascon-AEAD128,32,encrypt,6,4795,3880
Ascon-AEAD128,32,encrypt,7,4795,3880
Ascon-AEAD128,32,encrypt,8,4795,3880
Ascon-AEAD128,32,encrypt,9,4795,3880
Ascon-AEAD128,32,encrypt,10,4795,3880
Ascon-AEAD128,32,encrypt,11,4795,3880
Ascon-AEAD128,32,encrypt,12,4795,3880
Ascon-AEAD128,32,encrypt,13,4795,3880
Ascon-AEAD128,32,encrypt,14,4795,3880
Ascon-AEAD128,32,encrypt,15,4795,3880
Ascon-AEAD128,32,encrypt,16,4795,3880
Ascon-AEAD128,32,encrypt,17,4795,3880
Ascon-AEAD128,32,encrypt,18,4795,3880
Ascon-AEAD128,32,encrypt,19,4795,3880
Ascon-AEAD128,32,encrypt,20,4795,3880
Ascon-AEAD128,32,decrypt,1,5011,4008
Ascon-AEAD128,32,decrypt,2,5011,4008
Ascon-AEAD128,32,decrypt,3,5011,4008
Ascon-AEAD128,32,decrypt,4,5011,4008
Ascon-AEAD128,32,decrypt,5,5011,4008
Ascon-AEAD128,32,decrypt,6,5011,4008
Ascon-AEAD128,32,decrypt,7,5011,4008
Ascon-AEAD128,32,decrypt,8,5011,4008
Ascon-AEAD128,32,decrypt,9,5011,4008
Ascon-AEAD128,32,decrypt,10,5011,4008
Ascon-AEAD128,32,decrypt,11,5011,4008
Ascon-AEAD128,32,decrypt,12,5011,4008
Ascon-AEAD128,32,decrypt,13,5011,4008
Ascon-AEAD128,32,decrypt,14,5011,4008
Ascon-AEAD128,32,decrypt,15,5011,4008
Ascon-AEAD128,32,decrypt,16,5011,4008
Ascon-AEAD128,32,decrypt,17,5011,4008
Ascon-AEAD128,32,decrypt,18,5011,4008
Ascon-AEAD128,32,decrypt,19,5011,4008
Ascon-AEAD128,32,decrypt,20,5011,4008
Ascon-AEAD128,64,encrypt,1,4859,3880
Ascon-AEAD128,64,encrypt,2,4859,3880
Ascon-AEAD128,64,encrypt,3,4859,3880
Ascon-AEAD128,64,encrypt,4,4859,3880
Ascon-AEAD128,64,encrypt,5,4859,3880
Ascon-AEAD128,64,encrypt,6,4859,3880
Ascon-AEAD128,64,encrypt,7,4859,3880
Ascon-AEAD128,64,encrypt,8,4859,3880
Ascon-AEAD128,64,encrypt,9,4859,3880
Ascon-AEAD128,64,encrypt,10,4859,3880
Ascon-AEAD128,64,encrypt,11,4859,3880
Ascon-AEAD128,64,encrypt,12,4859,3880
Ascon-AEAD128,64,encrypt,13,4859,3880
Ascon-AEAD128,64,encrypt,14,4859,3880
Ascon-AEAD128,64,encrypt,15,4859,3880
Ascon-AEAD128,64,encrypt,16,4859,3880
Ascon-AEAD128,64,encrypt,17,4859,3880
Ascon-AEAD128,64,encrypt,18,4859,3880
Ascon-AEAD128,64,encrypt,19,4859,3880
Ascon-AEAD128,64,encrypt,20,4859,3880
Ascon-AEAD128,64,decrypt,1,5107,4008
Ascon-AEAD128,64,decrypt,2,5107,4008
Ascon-AEAD128,64,decrypt,3,5107,4008
Ascon-AEAD128,64,decrypt,4,5107,4008
Ascon-AEAD128,64,decrypt,5,5107,4008
Ascon-AEAD128,64,decrypt,6,5107,4008
Ascon-AEAD128,64,decrypt,7,5107,4008
Ascon-AEAD128,64,decrypt,8,5107,4008
Ascon-AEAD128,64,decrypt,9,5107,4008
Ascon-AEAD128,64,decrypt,10,5107,4008
Ascon-AEAD128,64,decrypt,11,5107,4008
Ascon-AEAD128,64,decrypt,12,5107,4008
Ascon-AEAD128,64,decrypt,13,5107,4008
Ascon-AEAD128,64,decrypt,14,5107,4008
Ascon-AEAD128,64,decrypt,15,5107,4008
Ascon-AEAD128,64,decrypt,16,5107,4008
Ascon-AEAD128,64,decrypt,17,5107,4008
Ascon-AEAD128,64,decrypt,18,5107,4008
Ascon-AEAD128,64,decrypt,19,5107,4008
Ascon-AEAD128,64,decrypt,20,5107,4008
Ascon-AEAD128,128,encrypt,1,4987,3880
Ascon-AEAD128,128,encrypt,2,4987,3880
Ascon-AEAD128,128,encrypt,3,4987,3880
Ascon-AEAD128,128,encrypt,4,4987,3880
Ascon-AEAD128,128,encrypt,5,4987,3880
Ascon-AEAD128,128,encrypt,6,4987,3880
Ascon-AEAD128,128,encrypt,7,4987,3880
Ascon-AEAD128,128,encrypt,8,4987,3880
Ascon-AEAD128,128,encrypt,9,4987,3880
Ascon-AEAD128,128,encrypt,10,4987,3880
Ascon-AEAD128,128,encrypt,11,4987,3880
Ascon-AEAD128,128,encrypt,12,4987,3880
Ascon-AEAD128,128,encrypt,13,4987,3880
Ascon-AEAD128,128,encrypt,14,4987,3880
Ascon-AEAD128,128,encrypt,15,4987,3880
Ascon-AEAD128,128,encrypt,16,4987,3880
Ascon-AEAD128,128,encrypt,17,4987,3880
Ascon-AEAD128,128,encrypt,18,4987,3880
Ascon-AEAD128,128,encrypt,19,4987,3880
Ascon-AEAD128,128,encrypt,20,4987,3880
Ascon-AEAD128,128,decrypt,1,5299,4008
Ascon-AEAD128,128,decrypt,2,5299,4008
Ascon-AEAD128,128,decrypt,3,5299,4008
Ascon-AEAD128,128,decrypt,4,5299,4008
Ascon-AEAD128,128,decrypt,5,5299,4008
Ascon-AEAD128,128,decrypt,6,5299,4008
Ascon-AEAD128,128,decrypt,7,5299,4008
Ascon-AEAD128,128,decrypt,8,5299,4008
Ascon-AEAD128,128,decrypt,9,5299,4008
Ascon-AEAD128,128,decrypt,10,5299,4008
Ascon-AEAD128,128,decrypt,11,5299,4008
Ascon-AEAD128,128,decrypt,12,5299,4008
Ascon-AEAD128,128,decrypt,13,5299,4008
Ascon-AEAD128,128,decrypt,14,5299,4008
Ascon-AEAD128,128,decrypt,15,5299,4008
Ascon-AEAD128,128,decrypt,16,5299,4008
Ascon-AEAD128,128,decrypt,17,5299,4008
Ascon-AEAD128,128,decrypt,18,5299,4008
Ascon-AEAD128,128,decrypt,19,5299,4008
Ascon-AEAD128,128,decrypt,20,5299,4008
Ascon-AEAD128,256,encrypt,1,5243,3880
Ascon-AEAD128,256,encrypt,2,5243,3880
Ascon-AEAD128,256,encrypt,3,5243,3880
Ascon-AEAD128,256,encrypt,4,5243,3880
Ascon-AEAD128,256,encrypt,5,5243,3880
Ascon-AEAD128,256,encrypt,6,5243,3880
Ascon-AEAD128,256,encrypt,7,5243,3880
Ascon-AEAD128,256,encrypt,8,5243,3880
Ascon-AEAD128,256,encrypt,9,5243,3880
Ascon-AEAD128,256,encrypt,10,5243,3880
Ascon-AEAD128,256,encrypt,11,5243,3880
Ascon-AEAD128,256,encrypt,12,5243,3880
Ascon-AEAD128,256,encrypt,13,5243,3880
Ascon-AEAD128,256,encrypt,14,5243,3880
Ascon-AEAD128,256,encrypt,15,5243,3880
Ascon-AEAD128,256,encrypt,16,5243,3880
Ascon-AEAD128,256,encrypt,17,5243,3880
Ascon-AEAD128,256,encrypt,18,5243,3880
Ascon-AEAD128,256,encrypt,19,5243,3880
Ascon-AEAD128,256,encrypt,20,5243,3880
Ascon-AEAD128,256,decrypt,1,5683,4008
Ascon-AEAD128,256,decrypt,2,5683,4008
Ascon-AEAD128,256,decrypt,3,5683,4008
Ascon-AEAD128,256,decrypt,4,5683,4008
Ascon-AEAD128,256,decrypt,5,5683,4008
Ascon-AEAD128,256,decrypt,6,5683,4008
Ascon-AEAD128,256,decrypt,7,5683,4008
Ascon-AEAD128,256,decrypt,8,5683,4008
Ascon-AEAD128,256,decrypt,9,5683,4008
Ascon-AEAD128,256,decrypt,10,5683,4008
Ascon-AEAD128,256,decrypt,11,5683,4008
Ascon-AEAD128,256,decrypt,12,5683,4008
Ascon-AEAD128,256,decrypt,13,5683,4008
Ascon-AEAD128,256,decrypt,14,5683,4008
Ascon-AEAD128,256,decrypt,15,5683,4008
Ascon-AEAD128,256,decrypt,16,5683,4008
Ascon-AEAD128,256,decrypt,17,5683,4008
Ascon-AEAD128,256,decrypt,18,5683,4008
Ascon-AEAD128,256,decrypt,19,5683,4008
Ascon-AEAD128,256,decrypt,20,5683,4008
Ascon-AEAD128,512,encrypt,1,5873,3880
Ascon-AEAD128,512,encrypt,2,5873,3880
Ascon-AEAD128,512,encrypt,3,5873,3880
Ascon-AEAD128,512,encrypt,4,5873,3880
Ascon-AEAD128,512,encrypt,5,5873,3880
Ascon-AEAD128,512,encrypt,6,5873,3880
Ascon-AEAD128,512,encrypt,7,5873,3880
Ascon-AEAD128,512,encrypt,8,5873,3880
Ascon-AEAD128,512,encrypt,9,5873,3880
Ascon-AEAD128,512,encrypt,10,5873,3880
Ascon-AEAD128,512,encrypt,11,5873,3880
Ascon-AEAD128,512,encrypt,12,5873,3880
Ascon-AEAD128,512,encrypt,13,5873,3880
Ascon-AEAD128,512,encrypt,14,5873,3880
Ascon-AEAD128,512,encrypt,15,5873,3880
Ascon-AEAD128,512,encrypt,16,5873,3880
Ascon-AEAD128,512,encrypt,17,5873,3880
Ascon-AEAD128,512,encrypt,18,5873,3880
Ascon-AEAD128,512,encrypt,19,5873,3880
Ascon-AEAD128,512,encrypt,20,5873,3880
Ascon-AEAD128,512,decrypt,1,6569,4008
Ascon-AEAD128,512,decrypt,2,6569,4008
Ascon-AEAD128,512,decrypt,3,6569,4008
Ascon-AEAD128,512,decrypt,4,6569,4008
Ascon-AEAD128,512,decrypt,5,6569,4008
Ascon-AEAD128,512,decrypt,6,6569,4008
Ascon-AEAD128,512,decrypt,7,6569,4008
Ascon-AEAD128,512,decrypt,8,6569,4008
Ascon-AEAD128,512,decrypt,9,6569,4008
Ascon-AEAD128,512,decrypt,10,6569,4008
Ascon-AEAD128,512,decrypt,11,6569,4008
Ascon-AEAD128,512,decrypt,12,6569,4008
Ascon-AEAD128,512,decrypt,13,6569,4008
Ascon-AEAD128,512,decrypt,14,6569,4008
Ascon-AEAD128,512,decrypt,15,6569,4008
Ascon-AEAD128,512,decrypt,16,6569,4008
Ascon-AEAD128,512,decrypt,17,6569,4008
Ascon-AEAD128,512,decrypt,18,6569,4008
Ascon-AEAD128,512,decrypt,19,6569,4008
Ascon-AEAD128,512,decrypt,20,6569,4008
Ascon-AEAD128,1024,encrypt,1,7409,3880
Ascon-AEAD128,1024,encrypt,2,7409,3880
Ascon-AEAD128,1024,encrypt,3,7409,3880
Ascon-AEAD128,1024,encrypt,4,7409,3880
Ascon-AEAD128,1024,encrypt,5,7409,3880
Ascon-AEAD128,1024,encrypt,6,7409,3880
Ascon-AEAD128,1024,encrypt,7,7409,3880
Ascon-AEAD128,1024,encrypt,8,7409,3880
Ascon-AEAD128,1024,encrypt,9,7409,3880
Ascon-AEAD128,1024,encrypt,10,7409,3880
Ascon-AEAD128,1024,encrypt,11,7409,3880
Ascon-AEAD128,1024,encrypt,12,7409,3880
Ascon-AEAD128,1024,encrypt,13,7409,3880
Ascon-AEAD128,1024,encrypt,14,7409,3880
Ascon-AEAD128,1024,encrypt,15,7409,3880
Ascon-AEAD128,1024,encrypt,16,7409,3880
Ascon-AEAD128,1024,encrypt,17,7409,3880
Ascon-AEAD128,1024,encrypt,18,7409,3880
Ascon-AEAD128,1024,encrypt,19,7409,3880
Ascon-AEAD128,1024,encrypt,20,7409,3880
Ascon-AEAD128,1024,decrypt,1,8617,4008
Ascon-AEAD128,1024,decrypt,2,8617,4008
Ascon-AEAD128,1024,decrypt,3,8617,4008
Ascon-AEAD128,1024,decrypt,4,8617,4008
Ascon-AEAD128,1024,decrypt,5,8617,4008
Ascon-AEAD128,1024,decrypt,6,8617,4008
Ascon-AEAD128,1024,decrypt,7,8617,4008
Ascon-AEAD128,1024,decrypt,8,8617,4008
Ascon-AEAD128,1024,decrypt,9,8617,4008
Ascon-AEAD128,1024,decrypt,10,8617,4008
Ascon-AEAD128,1024,decrypt,11,8617,4008
Ascon-AEAD128,1024,decrypt,12,8617,4008
Ascon-AEAD128,1024,decrypt,13,8617,4008
Ascon-AEAD128,1024,decrypt,14,8617,4008
