algorithm,tier,role,message_size,operation,samples,repetitions,batch_size,mean_ns,median_ns,stdev_ns,min_ns,max_ns,ci95_half_width_ns,ci95_lower_ns,ci95_upper_ns,mean_us,median_us,between_run_stdev_ns,throughput_mb_s_mean,throughput_mb_s_median,operations_per_second,ciphertext_size
AES-128-GCM,native-c,"Established baseline (NIST SP 800-38D, OpenSSL + AES-NI)",2048,decrypt,250,10,20,1578.2478,1468.275,381.1561537734864,1382.1,3688.2,47.2486063324531,1530.999193667547,1625.4964063324533,1.5782478000000002,1.468275,85.33720484160335,1297.6415997538536,1394.8340739983992,633614.0623798113,2064
AES-128-GCM,native-c,"Established baseline (NIST SP 800-38D, OpenSSL + AES-NI)",2048,encrypt,250,10,20,1514.8862,1377.05,413.52668207348705,1348.05,4269.25,51.261298593297965,1463.624901406702,1566.1474985932978,1.5148861999999998,1.3770499999999999,159.84321062688625,1351.9167314350082,1487.237209977851,660115.5915210001,2064
AES-128-GCM,native-c,"Established baseline (NIST SP 800-38D, OpenSSL + AES-NI)",4096,decrypt,250,10,20,1997.033,1867.6,439.6855573684832,1803.8,4283.05,54.50398637014945,1942.5290136298504,2051.5369863701494,1.9970329999999998,1.8676,36.69495856684161,2051.042721877906,2193.1891197258515,500742.85202097317,4112
AES-128-GCM,native-c,"Established baseline (NIST SP 800-38D, OpenSSL + AES-NI)",4096,encrypt,250,10,20,1870.6152,1766.5749999999998,338.13386920415394,1706.5,3970.75,41.915508684639235,1828.6996913153607,1912.5307086846392,1.8706152,1.7665749999999998,88.20863323935787,2189.6539705226387,2318.610871318795,534583.4888971286,4112
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),32,decrypt,1000,10,1,383332.872,372797.5,37931.23060955406,351364.0,832763.0,2351.0020303140413,380981.8699696859,385683.87403031404,383.33287199999995,372.7975,6187.614219278522,0.08347836133395833,0.08583748549815917,2608.698791686198,48
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),32,encrypt,1000,10,1,385432.822,373784.0,132527.51242110765,349500.0,4468149.0,8214.140320984341,377218.68167901563,393646.96232098434,385.432822,373.784,15462.727278462446,0.08302354696715476,0.08561094107826982,2594.4858427235863,48
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),64,decrypt,1000,10,1,486404.487,471188.5,75869.59782561162,426883.0,962062.0,4702.446392081865,481702.04060791817,491106.9333920819,486.404487,471.1885,37260.15849352109,0.13157773357464936,0.135826744498221,2055.902087103896,80
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),64,encrypt,1000,10,1,465192.015,461106.5,34088.403228245035,424937.0,712768.0,2112.8211215900224,463079.19387841,467304.83612159005,465.192015,461.1065,10068.239742171923,0.13757759793017943,0.13879656868857845,2149.649967659054,80
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),128,decrypt,1000,10,1,634373.189,627458.5,44932.416392646424,579640.0,1040100.0,2784.940020886646,631588.2489791134,637158.1290208866,634.373189,627.4585,13518.754813151223,0.2017739750347488,0.2039975552167992,1576.3591799589751,144
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),128,encrypt,1000,10,1,651213.369,626390.5,122940.06099293992,578279.0,1571243.0,7619.903924987154,643593.4650750128,658833.2729249871,651.213369,626.3905,56864.91863417773,0.19655616130325484,0.20434537241545012,1535.5950101816784,144
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),256,decrypt,1000,10,1,979478.698,961998.5,82757.81863663573,886783.0,1754824.0,5129.382741146431,974349.3152588535,984608.0807411465,979.478698,961.9985,33987.75818347241,0.2613635197199562,0.266112681048879,1020.9512489060788,272
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),256,encrypt,1000,10,1,958518.319,944011.5,64261.89161499353,881504.0,1721342.0,3982.9933073834127,954535.3256926166,962501.3123073834,958.518319,944.0115,18735.6362939675,0.2670788809410329,0.27118313706983443,1043.2768786759098,272
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),512,decrypt,1000,10,1,1687202.327,1607378.5,263183.7903305156,1535039.0,3037418.0,16312.300325340313,1670890.0266746597,1703514.6273253404,1687.202327,1607.3785,159336.97471231807,0.30346093755713505,0.31853107404385467,592.6971436662794,528
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),512,encrypt,1000,10,1,1619990.564,1601964.0,86119.8562985377,1529046.0,2877296.0,5337.763994327626,1614652.8000056725,1625328.3279943275,1619.990564,1601.964,23588.27735352513,0.31605122361688026,0.3196076815708717,617.2875461267192,528
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),1024,decrypt,1000,10,1,3074703.356,2932455.5,520752.96138946456,2798629.0,5621634.0,32276.602942861235,3042426.753057139,3106979.9589428613,3074.703356,2932.4555,252805.98144654263,0.3330402583396406,0.349195409785417,325.2346272848053,1040
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),1024,encrypt,1000,10,1,3027415.746,2945937.5,314747.53549164376,2784507.0,5500358.0,19508.254361534273,3007907.4916384653,3046924.0003615343,3027.4157459999997,2945.9375,106628.61282084938,0.3382422785350737,0.34759732682719846,330.31472513190795,1040
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),2048,decrypt,1000,10,1,5680325.041,5624781.0,275801.90625271236,5404696.0,8288505.0,17094.379252786195,5663230.661747214,5697419.420252786,5680.325041,5624.781,107568.70783408538,0.36054274803250647,0.364103064634872,176.04626368774728,2064
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),2048,encrypt,1000,10,1,5670315.447,5553035.0,503113.2019197858,5382679.0,9663136.0,31183.279323747745,5639132.167676252,5701498.726323747,5670.315447,5553.035,281709.0109460363,0.3611792005475705,0.3688073278846613,176.35703151736843,2064
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),4096,decrypt,1000,10,1,11119590.357,11006953.0,570556.5363745799,10522311.0,17492231.0,35363.460501271475,11084226.896498729,11154953.817501273,11119.590357000001,11006.953,252211.40079067327,0.3683588934930042,0.3721284173739999,89.93137048169048,4112
Ascon-AEAD128,pure-python,NIST SP 800-232 standard (the algorithm under study),4096,encrypt,1000,10,1,10935064.863,10780862.0,636031.0014865047,10480901.0,19494070.0,39421.60989263578,10895643.253107363,10974486.472892636,10935.064863,10780.862,196400.9193793566,0.37457482432127753,0.37993251374519027,91.4489317190619,4112
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",32,decrypt,1000,10,1,1698310.705,1681367.0,103346.36156200217,1596893.0,3195204.0,6405.47385237319,1691905.2311476269,1704716.1788523733,1698.310705,1681.367,36093.49221480801,0.01884225301400311,0.01903213278243239,588.8204066875973,48
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",32,encrypt,1000,10,1,1711507.208,1688375.0,104038.50695427155,1593685.0,2639576.0,6448.3734682398035,1705058.8345317603,1717955.58146824,1711.507208,1688.375,47988.78826083206,0.018696970629410285,0.01895313541126823,584.2803321690714,48
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",64,decrypt,1000,10,1,2339994.968,2249024.0,355287.35462559294,2147447.0,4968833.0,22020.938383667533,2317974.029616332,2362015.9063836676,2339.994968,2249.024,199327.25376692883,0.027350486165660853,0.028456788366864917,427.35134633845075,80
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",64,encrypt,1000,10,1,2321059.753,2242606.5,326407.1211758013,2145025.0,4216578.0,20230.92296931655,2300828.8300306834,2341290.6759693166,2321.059753,2242.6065,211818.3462824892,0.027573611544157432,0.02853822103877787,430.8376803774599,80
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",128,decrypt,1000,10,1,3460775.601,3393840.0,289438.7582783126,3234080.0,6038643.0,17939.60009809152,3442836.000901908,3478715.2010980914,3460.775601,3393.84,142975.35643539886,0.03698592880827468,0.03771539023642835,288.95256881464593,144
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",128,encrypt,1000,10,1,3473879.8,3416448.5,210612.67108500277,3222658.0,5204462.0,13053.908596521704,3460825.891403478,3486933.7085965215,3473.8797999999997,3416.4485,104163.32163823365,0.036846410172280575,0.03746580696299095,287.86257947094197,144
GIFT-COFB,pure-python,"NIST-LWC finalist (block-cipher based, not a sponge)",256,decrypt,1000,10,1,5785776.394,5669161.5,556334.5385945817,5439609.0,11688388.0,34481.97194636348,5751294.422053637,5820258.365946364,5785.776394,5669.1615,198404.89603667674,0.04424643860510728,0.045156589735536726,172.8376508012003,272
