algorithm,tier,message_size,operation,sample,peak_python_heap_bytes,current_python_heap_bytes
Ascon-AEAD128,pure-python,4096,decrypt,1,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,2,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,3,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,4,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,5,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,6,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,7,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,8,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,9,17457,512
Ascon-AEAD128,pure-python,4096,decrypt,10,17457,512
TinyJAMBU-128,pure-python,32,encrypt,1,1275,288
TinyJAMBU-128,pure-python,32,encrypt,2,1275,288
TinyJAMBU-128,pure-python,32,encrypt,3,1275,288
TinyJAMBU-128,pure-python,32,encrypt,4,1275,288
TinyJAMBU-128,pure-python,32,encrypt,5,1275,288
TinyJAMBU-128,pure-python,32,encrypt,6,1275,288
TinyJAMBU-128,pure-python,32,encrypt,7,1275,288
TinyJAMBU-128,pure-python,32,encrypt,8,1275,288
TinyJAMBU-128,pure-python,32,encrypt,9,1275,288
TinyJAMBU-128,pure-python,32,encrypt,10,1275,288
TinyJAMBU-128,pure-python,32,decrypt,1,1359,288
TinyJAMBU-128,pure-python,32,decrypt,2,1359,288
TinyJAMBU-128,pure-python,32,decrypt,3,1359,288
TinyJAMBU-128,pure-python,32,decrypt,4,1359,288
TinyJAMBU-128,pure-python,32,decrypt,5,1359,288
TinyJAMBU-128,pure-python,32,decrypt,6,1359,288
TinyJAMBU-128,pure-python,32,decrypt,7,1359,288
TinyJAMBU-128,pure-python,32,decrypt,8,1359,288
TinyJAMBU-128,pure-python,32,decrypt,9,1359,288
TinyJAMBU-128,pure-python,32,decrypt,10,1359,288
TinyJAMBU-128,pure-python,64,encrypt,1,1348,288
TinyJAMBU-128,pure-python,64,encrypt,2,1348,288
TinyJAMBU-128,pure-python,64,encrypt,3,1348,288
TinyJAMBU-128,pure-python,64,encrypt,4,1348,288
TinyJAMBU-128,pure-python,64,encrypt,5,1348,288
TinyJAMBU-128,pure-python,64,encrypt,6,1348,288
TinyJAMBU-128,pure-python,64,encrypt,7,1348,288
TinyJAMBU-128,pure-python,64,encrypt,8,1348,288
TinyJAMBU-128,pure-python,64,encrypt,9,1348,288
TinyJAMBU-128,pure-python,64,encrypt,10,1348,288
TinyJAMBU-128,pure-python,64,decrypt,1,1421,288
TinyJAMBU-128,pure-python,64,decrypt,2,1421,288
TinyJAMBU-128,pure-python,64,decrypt,3,1421,288
TinyJAMBU-128,pure-python,64,decrypt,4,1421,288
TinyJAMBU-128,pure-python,64,decrypt,5,1421,288
TinyJAMBU-128,pure-python,64,decrypt,6,1421,288
TinyJAMBU-128,pure-python,64,decrypt,7,1421,288
TinyJAMBU-128,pure-python,64,decrypt,8,1421,288
TinyJAMBU-128,pure-python,64,decrypt,9,1421,288
TinyJAMBU-128,pure-python,64,decrypt,10,1421,288
TinyJAMBU-128,pure-python,128,encrypt,1,1470,288
TinyJAMBU-128,pure-python,128,encrypt,2,1470,288
TinyJAMBU-128,pure-python,128,encrypt,3,1470,288
TinyJAMBU-128,pure-python,128,encrypt,4,1470,288
TinyJAMBU-128,pure-python,128,encrypt,5,1470,288
TinyJAMBU-128,pure-python,128,encrypt,6,1470,288
TinyJAMBU-128,pure-python,128,encrypt,7,1470,288
TinyJAMBU-128,pure-python,128,encrypt,8,1470,288
TinyJAMBU-128,pure-python,128,encrypt,9,1470,288
TinyJAMBU-128,pure-python,128,encrypt,10,1470,288
TinyJAMBU-128,pure-python,128,decrypt,1,1554,288
TinyJAMBU-128,pure-python,128,decrypt,2,1554,288
TinyJAMBU-128,pure-python,128,decrypt,3,1554,288
TinyJAMBU-128,pure-python,128,decrypt,4,1554,288
TinyJAMBU-128,pure-python,128,decrypt,5,1554,288
TinyJAMBU-128,pure-python,128,decrypt,6,1554,288
TinyJAMBU-128,pure-python,128,decrypt,7,1554,288
TinyJAMBU-128,pure-python,128,decrypt,8,1554,288
TinyJAMBU-128,pure-python,128,decrypt,9,1554,288
TinyJAMBU-128,pure-python,128,decrypt,10,1554,288
TinyJAMBU-128,pure-python,256,encrypt,1,1756,288
TinyJAMBU-128,pure-python,256,encrypt,2,1756,288
TinyJAMBU-128,pure-python,256,encrypt,3,1756,288
TinyJAMBU-128,pure-python,256,encrypt,4,1756,288
TinyJAMBU-128,pure-python,256,encrypt,5,1756,288
TinyJAMBU-128,pure-python,256,encrypt,6,1756,288
TinyJAMBU-128,pure-python,256,encrypt,7,1756,288
TinyJAMBU-128,pure-python,256,encrypt,8,1756,288
TinyJAMBU-128,pure-python,256,encrypt,9,1756,288
TinyJAMBU-128,pure-python,256,encrypt,10,1756,288
TinyJAMBU-128,pure-python,256,decrypt,1,1825,288
TinyJAMBU-128,pure-python,256,decrypt,2,1825,288
TinyJAMBU-128,pure-python,256,decrypt,3,1825,288
TinyJAMBU-128,pure-python,256,decrypt,4,1825,288
TinyJAMBU-128,pure-python,256,decrypt,5,1825,288
TinyJAMBU-128,pure-python,256,decrypt,6,1825,288
TinyJAMBU-128,pure-python,256,decrypt,7,1825,288
TinyJAMBU-128,pure-python,256,decrypt,8,1825,288
TinyJAMBU-128,pure-python,256,decrypt,9,1825,288
